variant,role,alt_universe,n_assets,window,status,failure_reason,n_days,total_return,annualised_return,sharpe,sortino,max_drawdown,total_gross_pnl,total_cost,total_net_pnl,total_turnover,mean_gross_exposure,mean_active_gross_exposure,trade_entries,active_days
broad_all_1x,same_risk_baseline,ETH BNB SOL XRP ADA AVAX DOT LINK LTC MATIC,10,original_holdout,completed,,126,-0.0419924159,-0.08222146881,-2.899477105,-1.343857971,-0.0419924159,-268.3596138,281.5397636,-549.8993774,40035.76552,238.0952381,10000,2,3
broad_all_1x,same_risk_baseline,ETH BNB SOL XRP ADA AVAX DOT LINK LTC MATIC,10,frozen_forward,completed,,137,-0.08160596161,-0.1449430295,-2.239107839,-1.298932691,-0.08160596161,-414.3580555,609.4138343,-1023.77189,101013.5202,802.919708,10000,5,11
broad_all_1x,same_risk_baseline,ETH BNB SOL XRP ADA AVAX DOT LINK LTC MATIC,10,continuous_post_selection,completed,,263,-0.120171546,-0.1154476066,-2.258817248,-1.137193022,-0.120171546,-682.7176693,890.9535979,-1573.671267,141049.2857,532.3193916,10000,7,14
liquid5_1x,candidate,ETH BNB SOL XRP ADA,5,original_holdout,completed,,126,-0.03909823817,-0.07666780411,-2.9692675,-1.551224092,-0.03909823817,-241.0713591,330.5716106,-571.6429697,40056.07826,238.0952381,10000,2,3
liquid5_1x,candidate,ETH BNB SOL XRP ADA,5,frozen_forward,completed,,137,-0.06831937082,-0.1220508802,-1.853857957,-1.087541954,-0.06831937082,-243.7406702,716.0809465,-959.8216166,101222.5137,802.919708,10000,5,11
liquid5_1x,candidate,ETH BNB SOL XRP ADA,5,continuous_post_selection,completed,,263,-0.104746442,-0.1005937182,-1.97344909,-1.012796738,-0.104746442,-484.8120293,1046.652557,-1531.464586,141278.592,532.3193916,10000,7,14
core4_1x,candidate,ETH BNB SOL XRP,4,original_holdout,completed,,126,-0.03556533344,-0.06986577394,-3.009314587,-1.713453133,-0.03556533344,-151.1870294,344.3065318,-495.4935611,40067.86024,238.0952381,10000,2,3
core4_1x,candidate,ETH BNB SOL XRP,4,frozen_forward,completed,,137,-0.06557082383,-0.1172808323,-1.679937536,-1.094409624,-0.0743677811,-213.9715365,667.0663478,-881.0378843,101226.1603,802.919708,10000,5,11
core4_1x,candidate,ETH BNB SOL XRP,4,continuous_post_selection,completed,,263,-0.09880410906,-0.09487430492,-1.786632626,-0.9937774532,-0.09880410906,-365.1585659,1011.37288,-1376.531445,141294.0205,532.3193916,10000,7,14
core3_1x,candidate,ETH BNB SOL,3,original_holdout,completed,,126,-0.04168531767,-0.08163296964,-2.96521934,-1.536963385,-0.04168531767,-206.2001977,315.5748082,-521.7750059,40024.04184,238.0952381,10000,2,3
core3_1x,candidate,ETH BNB SOL,3,frozen_forward,completed,,137,-0.06129820064,-0.1098423697,-1.267765431,-0.9781317662,-0.07795706306,-93.82201138,641.4635273,-735.2855387,101289.8003,802.919708,10000,5,11
core3_1x,candidate,ETH BNB SOL,3,continuous_post_selection,completed,,263,-0.1004282833,-0.09643739315,-1.482659281,-0.9601246238,-0.1004282833,-300.0222091,957.0383356,-1257.060545,141313.8421,532.3193916,10000,7,14
eth_bnb_1x,candidate,ETH BNB,2,original_holdout,completed,,126,-0.04158754144,-0.08144555927,-3.063338413,-2.024038002,-0.04158754144,-162.1707826,326.2039615,-488.3747441,39933.28102,238.0952381,10000,2,3
eth_bnb_1x,candidate,ETH BNB,2,frozen_forward,completed,,137,-0.07101491343,-0.1267174814,-1.283850403,-1.057975223,-0.09560166385,-225.0421837,574.2249642,-799.2671479,101294.9497,802.919708,10000,5,11
eth_bnb_1x,candidate,ETH BNB,2,continuous_post_selection,completed,,263,-0.1096491192,-0.1053136724,-1.433666859,-0.9958723552,-0.1096491192,-387.2129663,900.4289257,-1287.641892,141228.2307,532.3193916,10000,7,14
eth_only_1x,candidate,ETH,1,original_holdout,completed,,126,-0.03214601775,-0.06325866904,-2.743258944,-1.052893051,-0.03214601775,-63.02639293,371.8445336,-434.8709266,39936.97361,238.0952381,10000,2,3
eth_only_1x,candidate,ETH,1,frozen_forward,completed,,137,-0.1155544165,-0.2021780193,-3.128205343,-1.411697569,-0.1155544165,-935.8046043,577.1628428,-1512.967447,101001.7999,802.919708,10000,5,11
eth_only_1x,candidate,ETH,1,continuous_post_selection,completed,,263,-0.1439858199,-0.1384014702,-2.721069173,-1.040777256,-0.1439858199,-998.8309972,949.0073764,-1947.838374,140938.7735,532.3193916,10000,7,14
