strategy,trade_number,active_start,active_end,active_days,gross_pnl,transaction_cost,net_pnl,turnover
broad_all_1x,1,2025-11-28,2025-11-29,2,-254.2193763,124.6737576,-378.8931338,20049.90576
broad_all_1x,2,2026-02-21,2026-02-21,1,-14.14023752,156.866006,-171.0062436,19985.85976
broad_all_1x,3,2026-03-22,2026-03-22,1,-177.1090771,104.5168838,-281.6259609,19822.89092
broad_all_1x,4,2026-05-28,2026-05-30,3,103.7629173,88.93379895,14.82911836,20344.79647
broad_all_1x,5,2026-06-20,2026-06-20,1,180.0553114,198.6823362,-18.62702476,20180.05531
broad_all_1x,6,2026-06-24,2026-06-27,4,-332.1087584,163.8397563,-495.9485147,20518.99621
broad_all_1x,7,2026-07-31,2026-08-01,2,-188.9584488,53.44105905,-242.3995078,20146.78125
liquid5_1x,1,2025-11-28,2025-11-29,2,-223.7451927,132.3120308,-356.0572236,20073.40442
liquid5_1x,2,2026-02-21,2026-02-21,1,-17.32616635,198.2595797,-215.5857461,19982.67383
liquid5_1x,3,2026-03-22,2026-03-22,1,-161.0156953,118.6813941,-279.6970894,19838.9843
liquid5_1x,4,2026-05-28,2026-05-30,3,263.1722185,75.07857692,188.0936416,20450.29764
liquid5_1x,5,2026-06-20,2026-06-20,1,196.927176,258.7141286,-61.78695258,20196.92718
liquid5_1x,6,2026-06-24,2026-06-27,4,-353.6405857,200.0854361,-553.7260218,20574.70652
liquid5_1x,7,2026-07-31,2026-08-01,2,-189.1837837,63.52141074,-252.7051944,20161.59806
core4_1x,1,2025-11-28,2025-11-29,2,-172.5268644,130.1165572,-302.6434217,20046.52041
core4_1x,2,2026-02-21,2026-02-21,1,21.33983506,214.1899745,-192.8501394,20021.33984
core4_1x,3,2026-03-22,2026-03-22,1,-135.2245531,135.7666838,-270.9912369,19864.77545
core4_1x,4,2026-05-28,2026-05-30,3,341.2159892,59.05751117,282.158478,20484.06916
core4_1x,5,2026-06-20,2026-06-20,1,227.6518757,223.5795643,4.0723114,20227.65188
core4_1x,6,2026-06-24,2026-06-27,4,-341.0807386,185.9352995,-527.0160381,20561.91623
core4_1x,7,2026-07-31,2026-08-01,2,-306.5341097,62.72728905,-369.2613987,20087.74755
core3_1x,1,2025-11-28,2025-11-29,2,-231.8545426,123.0813022,-354.9358447,19998.3875
core3_1x,2,2026-02-21,2026-02-21,1,25.65434487,192.493506,-166.8391612,20025.65434
core3_1x,3,2026-03-22,2026-03-22,1,-123.9787074,136.653666,-260.6323734,19876.02129
core3_1x,4,2026-05-28,2026-05-30,3,371.0081328,46.34082375,324.667309,20561.47903
core3_1x,5,2026-06-20,2026-06-20,1,262.4524055,221.9016322,40.55077329,20262.45241
core3_1x,6,2026-06-24,2026-06-27,4,-263.9414784,180.7099816,-444.6514599,20532.78353
core3_1x,7,2026-07-31,2026-08-01,2,-339.3623639,55.8574238,-395.2197877,20057.06404
eth_bnb_1x,1,2025-11-28,2025-11-29,2,-171.1259033,126.6629242,-297.7888275,19924.3259
eth_bnb_1x,2,2026-02-21,2026-02-21,1,8.955120704,199.5410373,-190.5859166,20008.95512
eth_bnb_1x,3,2026-03-22,2026-03-22,1,-108.3070287,113.5788869,-221.8859156,19891.69297
eth_bnb_1x,4,2026-05-28,2026-05-30,3,538.7366725,51.63980747,487.0968651,20775.88875
eth_bnb_1x,5,2026-06-20,2026-06-20,1,144.1804724,214.301964,-70.12149165,20144.18047
eth_bnb_1x,6,2026-06-24,2026-06-27,4,-463.787211,156.3584655,-620.1456766,20444.51768
eth_bnb_1x,7,2026-07-31,2026-08-01,2,-335.8650888,38.34584034,-374.2109292,20038.66983
eth_only_1x,1,2025-11-28,2025-11-29,2,-85.7296557,108.855832,-194.5854877,19914.27034
eth_only_1x,2,2026-02-21,2026-02-21,1,22.70326277,262.9887016,-240.2854388,20022.70326
eth_only_1x,3,2026-03-22,2026-03-22,1,-148.5943968,120.7462838,-269.3406806,19851.4056
eth_only_1x,4,2026-05-28,2026-05-30,3,-11.48297431,33.92229484,-45.40526915,20136.08424
eth_only_1x,5,2026-06-20,2026-06-20,1,174.673765,194.9275568,-20.25379172,20174.67377
eth_only_1x,6,2026-06-24,2026-06-27,4,-565.175424,190.9881793,-756.1636033,20644.03811
eth_only_1x,7,2026-07-31,2026-08-01,2,-385.2255742,36.57852813,-421.8041024,20195.59817
