scenario,role,cost_mode,spread_correction,fixed_one_way_cost_bps,window,status,failure_reason,n_days,total_return,annualised_return,sharpe,sortino,max_drawdown,total_gross_pnl,total_cost,total_net_pnl,total_turnover,mean_gross_exposure,mean_active_gross_exposure,trade_entries,active_days
abdi_ranaldo_monthly_corrected,paper_estimator,abdi_ranaldo,monthly_corrected,0,original_holdout,completed,,126,-0.01101839765,-0.02191539022,-0.4027029992,-0.5088160905,-0.02471520246,86.62467044,183.485037,-96.86036654,42886.26549,1111.111111,10000,2,14
abdi_ranaldo_monthly_corrected,paper_estimator,abdi_ranaldo,monthly_corrected,0,frozen_forward,completed,,137,0.03816664151,0.0713266532,1.597376935,2.254624248,-0.008605239355,377.9056807,46.08776988,331.8179108,74200.42639,1897.810219,10000,4,26
abdi_ranaldo_monthly_corrected,paper_estimator,abdi_ranaldo,monthly_corrected,0,continuous_post_selection,completed,,263,0.02672770863,0.02559563629,0.5531166862,0.6602840058,-0.02471520246,464.5303512,229.5728069,234.9575443,117086.6919,1520.912548,10000,6,40
abdi_ranaldo_two_day_corrected,paper_estimator,abdi_ranaldo,two_day_corrected,0,original_holdout,completed,,126,-0.0321893016,-0.06334245205,-0.8164431885,-1.065415895,-0.04396017901,86.62467044,287.0898132,-200.4651427,42886.26549,1111.111111,10000,2,14
abdi_ranaldo_two_day_corrected,paper_estimator,abdi_ranaldo,two_day_corrected,0,frozen_forward,completed,,137,0.0190086635,0.03524351121,0.5706771637,0.9497945196,-0.0271182016,377.9056807,263.3361023,114.5695784,74200.42639,1897.810219,10000,4,26
abdi_ranaldo_two_day_corrected,paper_estimator,abdi_ranaldo,two_day_corrected,0,continuous_post_selection,completed,,263,-0.0137925137,-0.01321947076,-0.1543854895,-0.1931986041,-0.06046074886,464.5303512,550.4259155,-85.89556436,117086.6919,1520.912548,10000,6,40
fixed_5bps_one_way,sensitivity,fixed_bps,,5,original_holdout,completed,,126,0.003543777448,0.007100113255,0.2289661123,0.2351619735,-0.01206333243,86.62467044,40.62121494,46.0034555,42886.26549,1111.111111,10000,2,14
fixed_5bps_one_way,sensitivity,fixed_bps,,5,frozen_forward,completed,,137,0.02342656325,0.04351435521,1.47405996,1.890633193,-0.005820340773,377.9056807,72.71665155,305.1890292,74200.42639,1897.810219,10000,4,26
fixed_5bps_one_way,sensitivity,fixed_bps,,5,continuous_post_selection,completed,,263,0.02705335922,0.0259073204,0.8358859673,0.916048337,-0.01374000368,464.5303512,113.3378665,351.1924847,117086.6919,1520.912548,10000,6,40
fixed_10bps_one_way,sensitivity,fixed_bps,,10,original_holdout,completed,,126,0.001972378479,0.003948647235,0.1304143471,0.1402905078,-0.01298661891,86.62467044,62.06434768,24.56032276,42886.26549,1111.111111,10000,2,14
fixed_10bps_one_way,sensitivity,fixed_bps,,10,frozen_forward,completed,,137,0.02148716569,0.03987986943,1.302419662,1.713671477,-0.006489873526,377.9056807,109.8168647,268.088816,74200.42639,1897.810219,10000,4,26
fixed_10bps_one_way,sensitivity,fixed_bps,,10,continuous_post_selection,completed,,263,0.02350192499,0.02250797628,0.700475906,0.789687549,-0.01574211805,464.5303512,171.8812124,292.6491387,117086.6919,1520.912548,10000,6,40
fixed_20bps_one_way,decision_scenario,fixed_bps,,20,original_holdout,completed,,126,-0.001608462137,-0.003214337123,-0.06500883748,-0.07231230015,-0.0150905669,86.62467044,104.9506132,-18.32594273,42886.26549,1111.111111,10000,2,14
fixed_20bps_one_way,decision_scenario,fixed_bps,,20,frozen_forward,completed,,137,0.01704493812,0.0315768235,0.9492502074,1.378738478,-0.009490059209,377.9056807,184.0172911,193.8883896,74200.42639,1897.810219,10000,4,26
fixed_20bps_one_way,decision_scenario,fixed_bps,,20,continuous_post_selection,completed,,263,0.01540905985,0.01475984194,0.4272642898,0.513398506,-0.02088862728,464.5303512,288.9679043,175.5624469,117086.6919,1520.912548,10000,6,40
fixed_40bps_one_way,stress_scenario,fixed_bps,,40,original_holdout,completed,,126,-0.01122222584,-0.02231851333,-0.4408679496,-0.5695730737,-0.02234064085,86.62467044,190.7231442,-104.0984737,42886.26549,1111.111111,10000,2,14
fixed_40bps_one_way,stress_scenario,fixed_bps,,40,frozen_forward,completed,,137,0.004959391197,0.009141366983,0.2351612913,0.3890842054,-0.0186239862,377.9056807,332.4181439,45.48753682,74200.42639,1897.810219,10000,4,26
fixed_40bps_one_way,stress_scenario,fixed_bps,,40,continuous_post_selection,completed,,263,-0.006318490053,-0.006055020345,-0.11125852,-0.1524606757,-0.03479398998,464.5303512,523.141288,-58.6109369,117086.6919,1520.912548,10000,6,40
