strategy,trade_number,active_start,active_end,active_days,gross_pnl,transaction_cost,net_pnl,turnover
abdi_ranaldo_monthly_corrected,1,2025-11-28,2025-12-04,7,26.63645707,33.25353084,-6.617073775,21575.22963
abdi_ranaldo_monthly_corrected,2,2026-02-21,2026-02-27,7,59.98821337,150.2315061,-90.24329277,21311.03586
abdi_ranaldo_monthly_corrected,3,2026-03-22,2026-03-28,7,-43.7891924,9.589041096,-53.3782335,21434.27283
abdi_ranaldo_monthly_corrected,4,2026-05-28,2026-06-03,7,264.2176277,16.64687203,247.5707557,20966.36927
abdi_ranaldo_monthly_corrected,5,2026-06-20,2026-06-26,7,161.2059349,9.589041096,151.6168938,21275.47753
abdi_ranaldo_monthly_corrected,6,2026-07-31,2026-08-04,5,-3.728689482,10.26281566,-13.99150514,10524.30675
abdi_ranaldo_two_day_corrected,1,2025-11-28,2025-12-04,7,26.63645707,133.260107,-106.62365,21575.22963
abdi_ranaldo_two_day_corrected,2,2026-02-21,2026-02-27,7,59.98821337,153.8297061,-93.84149276,21311.03586
abdi_ranaldo_two_day_corrected,3,2026-03-22,2026-03-28,7,-43.7891924,96.5304928,-140.3196852,21434.27283
abdi_ranaldo_two_day_corrected,4,2026-05-28,2026-06-03,7,264.2176277,68.09930143,196.1183263,20966.36927
abdi_ranaldo_two_day_corrected,5,2026-06-20,2026-06-26,7,161.2059349,65.54761248,95.65832243,21275.47753
abdi_ranaldo_two_day_corrected,6,2026-07-31,2026-08-04,5,-3.728689482,33.15869564,-36.88738513,10524.30675
fixed_5bps_one_way,1,2025-11-28,2025-12-04,7,26.63645707,20.37665591,6.259801157,21575.22963
fixed_5bps_one_way,2,2026-02-21,2026-02-27,7,59.98821337,20.24455902,39.74365434,21311.03586
fixed_5bps_one_way,3,2026-03-22,2026-03-28,7,-43.7891924,20.30617751,-64.09536991,21434.27283
fixed_5bps_one_way,4,2026-05-28,2026-06-03,7,264.2176277,20.07222573,244.145402,20966.36927
fixed_5bps_one_way,5,2026-06-20,2026-06-26,7,161.2059349,20.22677986,140.979155,21275.47753
fixed_5bps_one_way,6,2026-07-31,2026-08-04,5,-3.728689482,12.11146844,-15.84015793,10524.30675
fixed_10bps_one_way,1,2025-11-28,2025-12-04,7,26.63645707,31.16427073,-4.527813658,21575.22963
fixed_10bps_one_way,2,2026-02-21,2026-02-27,7,59.98821337,30.90007695,29.08813642,21311.03586
fixed_10bps_one_way,3,2026-03-22,2026-03-28,7,-43.7891924,31.02331392,-74.81250632,21434.27283
fixed_10bps_one_way,4,2026-05-28,2026-06-03,7,264.2176277,30.55541037,233.6622173,20966.36927
fixed_10bps_one_way,5,2026-06-20,2026-06-26,7,161.2059349,30.86451863,130.3414163,21275.47753
fixed_10bps_one_way,6,2026-07-31,2026-08-04,5,-3.728689482,17.37362182,-21.1023113,10524.30675
fixed_20bps_one_way,1,2025-11-28,2025-12-04,7,26.63645707,52.73950036,-26.10304329,21575.22963
fixed_20bps_one_way,2,2026-02-21,2026-02-27,7,59.98821337,52.21111281,7.777100558,21311.03586
fixed_20bps_one_way,3,2026-03-22,2026-03-28,7,-43.7891924,52.45758675,-96.24677915,21434.27283
fixed_20bps_one_way,4,2026-05-28,2026-06-03,7,264.2176277,51.52177965,212.695848,20966.36927
fixed_20bps_one_way,5,2026-06-20,2026-06-26,7,161.2059349,52.13999616,109.0659387,21275.47753
fixed_20bps_one_way,6,2026-07-31,2026-08-04,5,-3.728689482,27.89792857,-31.62661805,10524.30675
fixed_40bps_one_way,1,2025-11-28,2025-12-04,7,26.63645707,95.88995962,-69.25350255,21575.22963
fixed_40bps_one_way,2,2026-02-21,2026-02-27,7,59.98821337,94.83318453,-34.84497116,21311.03586
fixed_40bps_one_way,3,2026-03-22,2026-03-28,7,-43.7891924,95.3261324,-139.1153248,21434.27283
fixed_40bps_one_way,4,2026-05-28,2026-06-03,7,264.2176277,93.4545182,170.7631095,20966.36927
fixed_40bps_one_way,5,2026-06-20,2026-06-26,7,161.2059349,94.69095123,66.51498367,21275.47753
fixed_40bps_one_way,6,2026-07-31,2026-08-04,5,-3.728689482,48.94654207,-52.67523156,10524.30675
