variant,role,alt_universe,exit_mode,max_hold,window,status,failure_reason,n_days,total_return,annualised_return,sharpe,sortino,max_drawdown,total_gross_pnl,total_cost,total_net_pnl,total_turnover,mean_gross_exposure,mean_active_gross_exposure,trade_entries,active_days
broad_original_exit_1x,published_rule_reference,ETH BNB SOL XRP ADA AVAX DOT LINK LTC MATIC,z_or_max_hold,7,original_holdout,completed,,126,-0.0419924159,-0.08222146881,-2.899477105,-1.343857971,-0.0419924159,-268.3596138,281.5397636,-549.8993774,40035.76552,238.0952381,10000,2,3
broad_original_exit_1x,published_rule_reference,ETH BNB SOL XRP ADA AVAX DOT LINK LTC MATIC,z_or_max_hold,7,frozen_forward,completed,,137,-0.08160596161,-0.1449430295,-2.239107839,-1.298932691,-0.08160596161,-414.3580555,609.4138343,-1023.77189,101013.5202,802.919708,10000,5,11
broad_original_exit_1x,published_rule_reference,ETH BNB SOL XRP ADA AVAX DOT LINK LTC MATIC,z_or_max_hold,7,continuous_post_selection,completed,,263,-0.120171546,-0.1154476066,-2.258817248,-1.137193022,-0.120171546,-682.7176693,890.9535979,-1573.671267,141049.2857,532.3193916,10000,7,14
core3_original_exit_1x,same_basket_baseline,ETH BNB SOL,z_or_max_hold,7,original_holdout,completed,,126,-0.04168531767,-0.08163296964,-2.96521934,-1.536963385,-0.04168531767,-206.2001977,315.5748082,-521.7750059,40024.04184,238.0952381,10000,2,3
core3_original_exit_1x,same_basket_baseline,ETH BNB SOL,z_or_max_hold,7,frozen_forward,completed,,137,-0.06129820064,-0.1098423697,-1.267765431,-0.9781317662,-0.07795706306,-93.82201138,641.4635273,-735.2855387,101289.8003,802.919708,10000,5,11
core3_original_exit_1x,same_basket_baseline,ETH BNB SOL,z_or_max_hold,7,continuous_post_selection,completed,,263,-0.1004282833,-0.09643739315,-1.482659281,-0.9601246238,-0.1004282833,-300.0222091,957.0383356,-1257.060545,141313.8421,532.3193916,10000,7,14
core3_fixed_1d_1x,candidate,ETH BNB SOL,fixed_holding,1,original_holdout,completed,,126,-0.05495638254,-0.1068925611,-2.623493307,-1.172132374,-0.05495638254,-71.86713269,323.8522689,-395.7194015,39928.13287,158.7301587,10000,2,2
core3_fixed_1d_1x,candidate,ETH BNB SOL,fixed_holding,1,frozen_forward,completed,,137,-0.1536727332,-0.2642795187,-2.746504706,-1.211412194,-0.1536727332,-395.8606151,649.8653095,-1045.725925,99604.13938,364.9635036,10000,5,5
core3_fixed_1d_1x,candidate,ETH BNB SOL,fixed_holding,1,continuous_post_selection,completed,,263,-0.2001838183,-0.1926764316,-2.491403996,-0.9606702165,-0.2001838183,-467.7277478,973.7175784,-1441.445326,139532.2723,266.1596958,10000,7,7
core3_fixed_2d_1x,candidate,ETH BNB SOL,fixed_holding,2,original_holdout,completed,,126,-0.05524976467,-0.1074469929,-3.249165661,-1.805592493,-0.05524976467,-383.177242,306.7232621,-689.9005042,39850.26014,317.4603175,10000,2,4
core3_fixed_2d_1x,candidate,ETH BNB SOL,fixed_holding,2,frozen_forward,completed,,137,-0.08554078685,-0.1516695362,-1.926247276,-1.367482425,-0.1031961258,-353.8118605,655.3161923,-1009.128053,100962.8142,729.9270073,10000,5,10
core3_fixed_2d_1x,candidate,ETH BNB SOL,fixed_holding,2,continuous_post_selection,completed,,263,-0.1360644432,-0.1307633644,-2.128299845,-1.326532917,-0.1360644432,-736.9891026,962.0394545,-1699.028557,140813.0743,532.3193916,10000,7,14
core3_fixed_3d_1x,candidate,ETH BNB SOL,fixed_holding,3,original_holdout,completed,,126,-0.09791215551,-0.1862375208,-3.048337528,-1.147370399,-0.09791215551,-900.6668819,303.5835021,-1204.250384,39955.39072,476.1904762,10000,2,6
core3_fixed_3d_1x,candidate,ETH BNB SOL,fixed_holding,3,frozen_forward,completed,,137,-0.004399048783,-0.008076737651,-0.01817047591,-0.01647771052,-0.07391145226,609.132868,657.940506,-48.80763799,102766.0139,1094.890511,10000,5,15
core3_fixed_3d_1x,candidate,ETH BNB SOL,fixed_holding,3,continuous_post_selection,completed,,263,-0.1018804839,-0.09783507567,-1.064099948,-0.6731928848,-0.1184268857,-291.5340139,961.5240081,-1253.058022,142721.4046,798.4790875,10000,7,21
core3_fixed_5d_1x,candidate,ETH BNB SOL,fixed_holding,5,original_holdout,completed,,126,-0.003973044505,-0.007930303928,0.008214206925,0.006366404684,-0.05947280799,263.5838122,328.3226304,-64.73881812,43476.43714,793.6507937,10000,2,10
core3_fixed_5d_1x,candidate,ETH BNB SOL,fixed_holding,5,frozen_forward,completed,,137,-0.04889607028,-0.0880895562,-1.054386936,-0.8244725357,-0.08071221101,-345.9332158,447.6388744,-793.5720901,71892.57433,1459.854015,10000,4,20
core3_fixed_5d_1x,candidate,ETH BNB SOL,fixed_holding,5,continuous_post_selection,completed,,263,-0.05267484852,-0.05052836115,-0.406475404,-0.3255550179,-0.08071221101,-82.34940352,775.9615047,-858.3109082,115369.0115,1140.684411,10000,6,30
core3_fixed_7d_1x,candidate,ETH BNB SOL,fixed_holding,7,original_holdout,completed,,126,-0.01347302303,-0.02676452372,-0.1968412956,-0.1758738939,-0.04673773214,-3.985475018,294.7863236,-298.7717986,43507.17159,1111.111111,10000,2,14
core3_fixed_7d_1x,candidate,ETH BNB SOL,fixed_holding,7,frozen_forward,completed,,137,-0.0989013594,-0.1743280976,-2.151141228,-1.50629673,-0.1219217705,-1696.051478,467.5923792,-2163.643857,74615.4854,1897.810219,10000,4,26
core3_fixed_7d_1x,candidate,ETH BNB SOL,fixed_holding,7,continuous_post_selection,completed,,263,-0.1110418821,-0.1066547251,-1.102312897,-0.8751962087,-0.1352288018,-1700.036953,762.3787029,-2462.415656,118122.657,1520.912548,10000,6,40
