strategy,trade_number,active_start,active_end,active_days,gross_pnl,transaction_cost,net_pnl,turnover
broad_original_exit_1x,1,2025-11-28,2025-11-29,2,-254.2193763,124.6737576,-378.8931338,20049.90576
broad_original_exit_1x,2,2026-02-21,2026-02-21,1,-14.14023752,156.866006,-171.0062436,19985.85976
broad_original_exit_1x,3,2026-03-22,2026-03-22,1,-177.1090771,104.5168838,-281.6259609,19822.89092
broad_original_exit_1x,4,2026-05-28,2026-05-30,3,103.7629173,88.93379895,14.82911836,20344.79647
broad_original_exit_1x,5,2026-06-20,2026-06-20,1,180.0553114,198.6823362,-18.62702476,20180.05531
broad_original_exit_1x,6,2026-06-24,2026-06-27,4,-332.1087584,163.8397563,-495.9485147,20518.99621
broad_original_exit_1x,7,2026-07-31,2026-08-01,2,-188.9584488,53.44105905,-242.3995078,20146.78125
core3_original_exit_1x,1,2025-11-28,2025-11-29,2,-231.8545426,123.0813022,-354.9358447,19998.3875
core3_original_exit_1x,2,2026-02-21,2026-02-21,1,25.65434487,192.493506,-166.8391612,20025.65434
core3_original_exit_1x,3,2026-03-22,2026-03-22,1,-123.9787074,136.653666,-260.6323734,19876.02129
core3_original_exit_1x,4,2026-05-28,2026-05-30,3,371.0081328,46.34082375,324.667309,20561.47903
core3_original_exit_1x,5,2026-06-20,2026-06-20,1,262.4524055,221.9016322,40.55077329,20262.45241
core3_original_exit_1x,6,2026-06-24,2026-06-27,4,-263.9414784,180.7099816,-444.6514599,20532.78353
core3_original_exit_1x,7,2026-07-31,2026-08-01,2,-339.3623639,55.8574238,-395.2197877,20057.06404
core3_fixed_1d_1x,1,2025-11-28,2025-11-28,1,-97.52147756,131.3587628,-228.8802404,19902.47852
core3_fixed_1d_1x,2,2026-02-21,2026-02-21,1,25.65434487,192.493506,-166.8391612,20025.65434
core3_fixed_1d_1x,3,2026-03-22,2026-03-22,1,-123.9787074,136.653666,-260.6323734,19876.02129
core3_fixed_1d_1x,4,2026-05-28,2026-05-28,1,-92.39373088,35.84414598,-128.2378769,19907.60627
core3_fixed_1d_1x,5,2026-06-20,2026-06-20,1,262.4524055,221.9016322,40.55077329,20262.45241
core3_fixed_1d_1x,6,2026-06-24,2026-06-24,1,-243.7273825,202.7130927,-446.4404752,19756.27262
core3_fixed_1d_1x,7,2026-07-31,2026-07-31,1,-198.2131998,52.75277264,-250.9659725,19801.7868
core3_fixed_2d_1x,1,2025-11-28,2025-11-29,2,-231.8545426,123.0813022,-354.9358447,19998.3875
core3_fixed_2d_1x,2,2026-02-21,2026-02-22,2,-151.3226995,183.64196,-334.9646594,19851.87265
core3_fixed_2d_1x,3,2026-03-22,2026-03-23,2,305.1200113,149.744612,155.3753993,20553.07743
core3_fixed_2d_1x,4,2026-05-28,2026-05-29,2,-62.15790406,42.01943578,-104.1773398,20122.62956
core3_fixed_2d_1x,5,2026-06-20,2026-06-21,2,140.9508993,217.8183362,-76.86743689,20140.9509
core3_fixed_2d_1x,6,2026-06-24,2026-06-25,2,-398.3625032,189.8763846,-588.2388878,20089.09226
core3_fixed_2d_1x,7,2026-07-31,2026-08-01,2,-339.3623639,55.8574238,-395.2197877,20057.06404
core3_fixed_3d_1x,1,2025-11-28,2025-11-30,3,-279.9079714,117.0882851,-396.9962566,20219.0002
core3_fixed_3d_1x,2,2026-02-21,2026-02-23,3,-620.7589105,186.4952169,-807.2541274,19736.39053
core3_fixed_3d_1x,3,2026-03-22,2026-03-24,3,284.4324808,148.7414581,135.6910227,20532.3899
core3_fixed_3d_1x,4,2026-05-28,2026-05-30,3,371.0081328,46.34082375,324.667309,20561.47903
core3_fixed_3d_1x,5,2026-06-20,2026-06-22,3,192.7635914,215.3021689,-22.5385775,20435.7666
core3_fixed_3d_1x,6,2026-06-24,2026-06-26,3,-127.8272679,195.6693505,-323.4966185,20668.89774
core3_fixed_3d_1x,7,2026-07-31,2026-08-02,3,-111.244069,51.8867047,-163.1307737,20567.48066
core3_fixed_5d_1x,1,2025-11-28,2025-12-02,5,-97.28622644,128.9772408,-226.2634672,21660.69677
core3_fixed_5d_1x,2,2026-02-21,2026-02-25,5,360.8700387,199.3453896,161.5246491,21815.74037
core3_fixed_5d_1x,3,2026-03-22,2026-03-26,5,-65.44639981,147.6016132,-213.048013,20236.89705
core3_fixed_5d_1x,4,2026-05-28,2026-06-01,5,166.6797684,57.39061888,109.2891495,20507.34878
core3_fixed_5d_1x,5,2026-06-20,2026-06-24,5,-340.6868634,214.2964006,-554.983264,20528.68473
core3_fixed_5d_1x,6,2026-07-31,2026-08-04,5,-106.479721,28.35024173,-134.8299627,10619.64377
core3_fixed_7d_1x,1,2025-11-28,2025-12-04,7,165.045663,122.9513941,42.09426891,21923.02866
core3_fixed_7d_1x,2,2026-02-21,2026-02-27,7,-169.031138,171.8349296,-340.8660676,21584.14294
core3_fixed_7d_1x,3,2026-03-22,2026-03-28,7,-438.8792858,151.1302777,-590.0095634,21407.14486
core3_fixed_7d_1x,4,2026-05-28,2026-06-03,7,-925.9057225,80.85920142,-1006.764924,21147.38692
core3_fixed_7d_1x,5,2026-06-20,2026-06-26,7,-224.7867488,207.2526584,-432.0394073,21441.30985
core3_fixed_7d_1x,6,2026-07-31,2026-08-04,5,-106.479721,28.35024173,-134.8299627,10619.64377
