variant,role,alt_universe,position_mode,exit_mode,max_hold,short_carry_rate_annual,window,status,failure_reason,n_days,total_return,annualised_return,sharpe,sortino,max_drawdown,total_gross_pnl,total_cost,total_net_pnl,total_turnover,mean_gross_exposure,mean_active_gross_exposure,trade_entries,active_days
core3_relative_fixed_7d_1x,same_structure_baseline,ETH BNB SOL,long_alts_short_btc,fixed_holding,7,0.1,original_holdout,completed,,126,-0.05119197886,-0.09976333902,-0.9853966575,-1.189690172,-0.06084754125,86.62467044,336.6905656,-250.0658952,42886.26549,1111.111111,10000,2,14
core3_relative_fixed_7d_1x,same_structure_baseline,ETH BNB SOL,long_alts_short_btc,fixed_holding,7,0.1,frozen_forward,completed,,137,-0.01612255862,-0.02945524334,-0.2893336406,-0.3631208985,-0.04070124489,377.9056807,452.6304976,-74.72481691,74200.42639,1897.810219,10000,4,26
core3_relative_fixed_7d_1x,same_structure_baseline,ETH BNB SOL,long_alts_short_btc,fixed_holding,7,0.1,continuous_post_selection,completed,,263,-0.06648919179,-0.06379897649,-0.6441495917,-0.7390251688,-0.0913266718,464.5303512,789.3210633,-324.7907121,117086.6919,1520.912548,10000,6,40
core3_relative_fixed_10d_1x,candidate,ETH BNB SOL,long_alts_short_btc,fixed_holding,10,0.1,original_holdout,completed,,126,-0.0857829481,-0.164207182,-1.035359876,-1.285641733,-0.1071753692,64.80042019,344.0956489,-279.2952287,45069.15189,1587.301587,10000,2,20
core3_relative_fixed_10d_1x,candidate,ETH BNB SOL,long_alts_short_btc,fixed_holding,10,0.1,frozen_forward,completed,,137,-0.1269814554,-0.2210355789,-1.195310692,-1.061349913,-0.1815563129,114.2412732,492.2067792,-377.965506,76497.06913,2554.744526,10000,4,35
core3_relative_fixed_10d_1x,candidate,ETH BNB SOL,long_alts_short_btc,fixed_holding,10,0.1,continuous_post_selection,completed,,263,-0.2018715599,-0.1943088346,-1.123358472,-1.065209439,-0.238073833,179.0416934,836.3024281,-657.2607347,121566.221,2091.254753,10000,6,55
core3_relative_fixed_14d_1x,candidate,ETH BNB SOL,long_alts_short_btc,fixed_holding,14,0.1,original_holdout,completed,,126,-0.1291115138,-0.2415532445,-1.293700803,-1.551502737,-0.1315834826,27.03963058,396.942464,-369.9028334,45941.13148,2222.222222,10000,2,28
core3_relative_fixed_14d_1x,candidate,ETH BNB SOL,long_alts_short_btc,fixed_holding,14,0.1,frozen_forward,completed,,137,-0.1054111949,-0.1852668003,-0.6289177751,-0.6363343546,-0.2045435543,269.351749,532.3615727,-263.0098237,78846.51389,3430.656934,10000,4,47
core3_relative_fixed_14d_1x,candidate,ETH BNB SOL,long_alts_short_btc,fixed_holding,14,0.1,continuous_post_selection,completed,,263,-0.2209129097,-0.2127359256,-0.8897151261,-0.9179329715,-0.3092124836,296.3913795,929.3040366,-632.9126571,124787.6454,2851.711027,10000,6,75
core3_relative_fixed_21d_1x,candidate,ETH BNB SOL,long_alts_short_btc,fixed_holding,21,0.1,original_holdout,completed,,126,-0.05446185617,-0.1059576186,-1.649805105,-1.92678042,-0.05608539547,-95.40066526,376.7241617,-472.124827,48965.10016,3333.333333,10000,2,42
core3_relative_fixed_21d_1x,candidate,ETH BNB SOL,long_alts_short_btc,fixed_holding,21,0.1,frozen_forward,completed,,137,-0.04666576223,-0.08415227704,-1.037967735,-1.18829835,-0.05923314906,139.366949,521.876089,-382.50914,81952.52915,4963.50365,10000,4,68
core3_relative_fixed_21d_1x,candidate,ETH BNB SOL,long_alts_short_btc,fixed_holding,21,0.1,continuous_post_selection,completed,,263,-0.09858611437,-0.09466451811,-1.296216764,-1.468046776,-0.1113050957,43.9662837,898.6002507,-854.633967,130917.6293,4182.509506,10000,6,110
core3_relative_fixed_28d_1x,candidate,ETH BNB SOL,long_alts_short_btc,fixed_holding,28,0.1,original_holdout,completed,,126,-0.03914824663,-0.07676390805,-1.357856595,-1.776940247,-0.05075707998,-63.47175314,355.8369085,-419.3086617,41152.72783,4444.444444,10000,2,56
core3_relative_fixed_28d_1x,candidate,ETH BNB SOL,long_alts_short_btc,fixed_holding,28,0.1,frozen_forward,completed,,137,-0.05943929815,-0.1065972059,-1.752676348,-1.956544372,-0.06094355592,-167.8441352,443.8743124,-611.7184476,70906.84411,4452.554745,10000,3,61
core3_relative_fixed_28d_1x,candidate,ETH BNB SOL,long_alts_short_btc,fixed_holding,28,0.1,continuous_post_selection,completed,,263,-0.09626060048,-0.0924266957,-1.573686035,-1.858493443,-0.09839245825,-231.3158883,799.711221,-1031.027109,112059.5719,4448.669202,10000,5,117
