strategy,trade_number,active_start,active_end,active_days,gross_pnl,transaction_cost,net_pnl,turnover
core3_relative_fixed_7d_1x,1,2025-11-28,2025-12-04,7,26.63645707,137.4114103,-110.7749532,21575.22963
core3_relative_fixed_7d_1x,2,2026-02-21,2026-02-27,7,59.98821337,199.2791554,-139.290942,21311.03586
core3_relative_fixed_7d_1x,3,2026-03-22,2026-03-28,7,-43.7891924,140.7631002,-184.5522926,21434.27283
core3_relative_fixed_7d_1x,4,2026-05-28,2026-06-03,7,264.2176277,93.64390424,170.5737234,20966.36927
core3_relative_fixed_7d_1x,5,2026-06-20,2026-06-26,7,161.2059349,185.1946435,-23.98870864,21275.47753
core3_relative_fixed_7d_1x,6,2026-07-31,2026-08-04,5,-3.728689482,33.02884965,-36.75753913,10524.30675
core3_relative_fixed_10d_1x,1,2025-11-28,2025-12-07,10,-13.87102245,148.995182,-162.8662045,22416.53393
core3_relative_fixed_10d_1x,2,2026-02-21,2026-03-02,10,78.67144264,195.1004668,-116.4290242,22652.61795
core3_relative_fixed_10d_1x,3,2026-03-22,2026-03-31,10,-55.36861633,150.7111487,-206.0797651,21895.99937
core3_relative_fixed_10d_1x,4,2026-05-28,2026-06-06,10,-63.52195591,127.3848786,-190.9068345,22433.87105
core3_relative_fixed_10d_1x,5,2026-06-20,2026-06-29,10,236.8605349,181.0819022,55.77863273,21642.89196
core3_relative_fixed_10d_1x,6,2026-07-31,2026-08-04,5,-3.728689482,33.02884965,-36.75753913,10524.30675
core3_relative_fixed_14d_1x,1,2025-11-28,2025-12-11,14,4.01615803,186.7480644,-182.7319064,22794.09963
core3_relative_fixed_14d_1x,2,2026-02-21,2026-03-06,14,23.02347255,210.1943996,-187.170927,23147.03185
core3_relative_fixed_14d_1x,3,2026-03-22,2026-04-04,14,-125.0782652,158.8703718,-283.948637,22378.32554
core3_relative_fixed_14d_1x,4,2026-05-28,2026-06-10,14,8.275385443,142.0462965,-133.7709111,23258.78446
core3_relative_fixed_14d_1x,5,2026-06-20,2026-07-03,14,389.8833182,198.4160547,191.4672635,22685.09714
core3_relative_fixed_14d_1x,6,2026-07-31,2026-08-04,5,-3.728689482,33.02884965,-36.75753913,10524.30675
core3_relative_fixed_21d_1x,1,2025-11-28,2025-12-18,21,-149.2597054,150.4435392,-299.7032447,23975.49567
core3_relative_fixed_21d_1x,2,2026-02-21,2026-03-13,21,53.85904017,226.2806225,-172.4215823,24989.6045
core3_relative_fixed_21d_1x,3,2026-03-22,2026-04-11,21,-241.0580098,139.9117387,-380.9697485,23622.50195
core3_relative_fixed_21d_1x,4,2026-05-28,2026-06-17,21,164.2538237,167.4242532,-3.170429522,24335.69202
core3_relative_fixed_21d_1x,5,2026-06-20,2026-07-10,21,219.8998245,181.5112474,38.38857716,23470.02843
core3_relative_fixed_21d_1x,6,2026-07-31,2026-08-04,5,-3.728689482,33.02884965,-36.75753913,10524.30675
core3_relative_fixed_28d_1x,1,2025-11-28,2025-12-25,28,-194.3204011,162.7886915,-357.1090926,24746.67385
core3_relative_fixed_28d_1x,2,2026-02-21,2026-03-20,28,130.8486479,258.7393578,-127.8907098,26479.66364
core3_relative_fixed_28d_1x,3,2026-03-22,2026-04-18,28,-278.9968838,177.9599265,-456.9568104,24875.52807
core3_relative_fixed_28d_1x,4,2026-05-28,2026-06-24,28,114.8814381,167.1943955,-52.31295731,25433.39964
core3_relative_fixed_28d_1x,5,2026-07-31,2026-08-04,5,-3.728689482,33.02884965,-36.75753913,10524.30675
