variant,role,alt_universe,position_mode,exit_mode,max_hold,short_carry_rate_annual,window,status,failure_reason,n_days,total_return,annualised_return,sharpe,sortino,max_drawdown,total_gross_pnl,total_cost,total_net_pnl,total_turnover,mean_gross_exposure,mean_active_gross_exposure,trade_entries,active_days
core3_long_original_exit_1x,original_exit_reference,ETH BNB SOL,long_alts,z_or_max_hold,7,0,original_holdout,completed,,126,-0.04168531767,-0.08163296964,-2.96521934,-1.536963385,-0.04168531767,-206.2001977,315.5748082,-521.7750059,40024.04184,238.0952381,10000,2,3
core3_long_original_exit_1x,original_exit_reference,ETH BNB SOL,long_alts,z_or_max_hold,7,0,frozen_forward,completed,,137,-0.06129820064,-0.1098423697,-1.267765431,-0.9781317662,-0.07795706306,-93.82201138,641.4635273,-735.2855387,101289.8003,802.919708,10000,5,11
core3_long_original_exit_1x,original_exit_reference,ETH BNB SOL,long_alts,z_or_max_hold,7,0,continuous_post_selection,completed,,263,-0.1004282833,-0.09643739315,-1.482659281,-0.9601246238,-0.1004282833,-300.0222091,957.0383356,-1257.060545,141313.8421,532.3193916,10000,7,14
core3_long_fixed_5d_1x,same_basket_long_only_reference,ETH BNB SOL,long_alts,fixed_holding,5,0,original_holdout,completed,,126,-0.003973044505,-0.007930303928,0.008214206925,0.006366404684,-0.05947280799,263.5838122,328.3226304,-64.73881812,43476.43714,793.6507937,10000,2,10
core3_long_fixed_5d_1x,same_basket_long_only_reference,ETH BNB SOL,long_alts,fixed_holding,5,0,frozen_forward,completed,,137,-0.04889607028,-0.0880895562,-1.054386936,-0.8244725357,-0.08071221101,-345.9332158,447.6388744,-793.5720901,71892.57433,1459.854015,10000,4,20
core3_long_fixed_5d_1x,same_basket_long_only_reference,ETH BNB SOL,long_alts,fixed_holding,5,0,continuous_post_selection,completed,,263,-0.05267484852,-0.05052836115,-0.406475404,-0.3255550179,-0.08071221101,-82.34940352,775.9615047,-858.3109082,115369.0115,1140.684411,10000,6,30
core3_relative_original_exit_1x,candidate,ETH BNB SOL,long_alts_short_btc,z_or_max_hold,7,0.1,original_holdout,completed,,126,-0.2276574748,-0.4034870238,-3.068758036,-2.064180207,-0.2276574748,-70.73924652,354.565128,-425.3043745,40028.19076,238.0952381,10000,2,3
core3_relative_original_exit_1x,candidate,ETH BNB SOL,long_alts_short_btc,z_or_max_hold,7,0.1,frozen_forward,completed,,137,-0.1230902083,-0.214637134,-0.7171958791,-0.6647350307,-0.1799913189,376.8800524,554.4834992,-177.6034468,101120.4947,802.919708,10000,5,11
core3_relative_original_exit_1x,candidate,ETH BNB SOL,long_alts_short_btc,z_or_max_hold,7,0.1,continuous_post_selection,completed,,263,-0.3227252771,-0.3115963842,-1.484438021,-1.118043331,-0.3227252771,306.1408059,909.0486272,-602.9078213,141148.6854,532.3193916,10000,7,14
core3_relative_fixed_1d_1x,candidate,ETH BNB SOL,long_alts_short_btc,fixed_holding,1,0.1,original_holdout,completed,,126,-0.1816386995,-0.3302847818,-2.762344442,-1.880172745,-0.1816386995,-8.427996244,353.7883971,-362.2163933,39936.56086,158.7301587,10000,2,2
core3_relative_fixed_1d_1x,candidate,ETH BNB SOL,long_alts_short_btc,fixed_holding,1,0.1,frozen_forward,completed,,137,-0.2464472463,-0.4057613504,-3.236991923,-1.510366145,-0.2464472463,153.5089874,555.6966756,-402.1876882,99450.6304,364.9635036,10000,5,5
core3_relative_fixed_1d_1x,candidate,ETH BNB SOL,long_alts_short_btc,fixed_holding,1,0.1,continuous_post_selection,completed,,263,-0.3833215885,-0.3707263335,-3.022618405,-1.388551362,-0.3833215885,145.0809912,909.4850727,-764.4040815,139387.1913,266.1596958,10000,7,7
core3_relative_fixed_3d_1x,candidate,ETH BNB SOL,long_alts_short_btc,fixed_holding,3,0.1,original_holdout,completed,,126,-0.1291977657,-0.2417034688,-3.52947539,-1.734428461,-0.1291977657,-148.3321228,352.2125855,-500.5447083,39789.33453,476.1904762,10000,2,6
core3_relative_fixed_3d_1x,candidate,ETH BNB SOL,long_alts_short_btc,fixed_holding,3,0.1,frozen_forward,completed,,137,-0.02626148939,-0.04777261686,-0.3528188231,-0.3172643512,-0.06639060069,484.1541019,572.7526814,-88.59857948,102420.0495,1094.890511,10000,5,15
core3_relative_fixed_3d_1x,candidate,ETH BNB SOL,long_alts_short_btc,fixed_holding,3,0.1,continuous_post_selection,completed,,263,-0.1520663293,-0.1461960647,-1.508415168,-1.044355907,-0.1654893117,335.8219792,924.965267,-589.1432878,142209.384,798.4790875,10000,7,21
core3_relative_fixed_5d_1x,candidate,ETH BNB SOL,long_alts_short_btc,fixed_holding,5,0.1,original_holdout,completed,,126,-0.06649002097,-0.128559119,-1.125577444,-0.947847613,-0.09474580756,109.4520024,370.9937024,-261.5417,42907.89256,793.6507937,10000,2,10
