strategy,trade_number,active_start,active_end,active_days,gross_pnl,transaction_cost,net_pnl,turnover
core3_long_original_exit_1x,1,2025-11-28,2025-11-29,2,-231.8545426,123.0813022,-354.9358447,19998.3875
core3_long_original_exit_1x,2,2026-02-21,2026-02-21,1,25.65434487,192.493506,-166.8391612,20025.65434
core3_long_original_exit_1x,3,2026-03-22,2026-03-22,1,-123.9787074,136.653666,-260.6323734,19876.02129
core3_long_original_exit_1x,4,2026-05-28,2026-05-30,3,371.0081328,46.34082375,324.667309,20561.47903
core3_long_original_exit_1x,5,2026-06-20,2026-06-20,1,262.4524055,221.9016322,40.55077329,20262.45241
core3_long_original_exit_1x,6,2026-06-24,2026-06-27,4,-263.9414784,180.7099816,-444.6514599,20532.78353
core3_long_original_exit_1x,7,2026-07-31,2026-08-01,2,-339.3623639,55.8574238,-395.2197877,20057.06404
core3_long_fixed_5d_1x,1,2025-11-28,2025-12-02,5,-97.28622644,128.9772408,-226.2634672,21660.69677
core3_long_fixed_5d_1x,2,2026-02-21,2026-02-25,5,360.8700387,199.3453896,161.5246491,21815.74037
core3_long_fixed_5d_1x,3,2026-03-22,2026-03-26,5,-65.44639981,147.6016132,-213.048013,20236.89705
core3_long_fixed_5d_1x,4,2026-05-28,2026-06-01,5,166.6797684,57.39061888,109.2891495,20507.34878
core3_long_fixed_5d_1x,5,2026-06-20,2026-06-24,5,-340.6868634,214.2964006,-554.983264,20528.68473
core3_long_fixed_5d_1x,6,2026-07-31,2026-08-04,5,-106.479721,28.35024173,-134.8299627,10619.64377
core3_relative_original_exit_1x,1,2025-11-28,2025-11-29,2,-86.80664194,123.7948426,-210.6014846,20018.60381
core3_relative_original_exit_1x,2,2026-02-21,2026-02-21,1,16.06739542,230.7702854,-214.7028899,20009.58695
core3_relative_original_exit_1x,3,2026-03-22,2026-03-22,1,14.84965465,121.1625664,-106.3129118,19861.17164
core3_relative_original_exit_1x,4,2026-05-28,2026-05-30,3,223.18009,35.96803773,187.2120523,20376.07896
core3_relative_original_exit_1x,5,2026-06-20,2026-06-20,1,71.88928125,196.2241374,-124.3348562,20190.56312
core3_relative_original_exit_1x,6,2026-06-24,2026-06-27,4,85.49121913,154.828399,-69.3371799,20523.21294
core3_relative_original_exit_1x,7,2026-07-31,2026-08-01,2,-18.53019263,46.30035856,-64.83055119,20169.468
core3_relative_fixed_1d_1x,1,2025-11-28,2025-11-28,1,-24.49539167,123.0181117,-147.5135034,19926.97391
core3_relative_fixed_1d_1x,2,2026-02-21,2026-02-21,1,16.06739542,230.7702854,-214.7028899,20009.58695
core3_relative_fixed_1d_1x,3,2026-03-22,2026-03-22,1,14.84965465,121.1625664,-106.3129118,19861.17164
core3_relative_fixed_1d_1x,4,2026-05-28,2026-05-28,1,9.665983505,32.57955602,-22.91357252,19897.94029
core3_relative_fixed_1d_1x,5,2026-06-20,2026-06-20,1,71.88928125,196.2241374,-124.3348562,20190.56312
core3_relative_fixed_1d_1x,6,2026-06-24,2026-06-24,1,10.16718105,158.252969,-148.0857879,19746.10544
core3_relative_fixed_1d_1x,7,2026-07-31,2026-07-31,1,46.93688695,47.47744675,-0.540559802,19754.84991
core3_relative_fixed_3d_1x,1,2025-11-28,2025-11-30,3,-86.47057493,122.4128608,-208.8834357,20114.25795
core3_relative_fixed_3d_1x,2,2026-02-21,2026-02-23,3,-61.86154784,229.7997248,-291.6612726,19675.07659
core3_relative_fixed_3d_1x,3,2026-03-22,2026-03-24,3,19.17240368,136.2983188,-117.1259151,20542.9168
core3_relative_fixed_3d_1x,4,2026-05-28,2026-05-30,3,223.18009,35.96803773,187.2120523,20376.07896
core3_relative_fixed_3d_1x,5,2026-06-20,2026-06-22,3,57.80549393,192.9027003,-135.0972064,20409.81116
core3_relative_fixed_3d_1x,6,2026-06-24,2026-06-26,3,147.8683658,161.4085799,-13.54021411,20596.95
core3_relative_fixed_3d_1x,7,2026-07-31,2026-08-02,3,36.12774848,46.17504465,-10.04729618,20494.29252
core3_relative_fixed_5d_1x,1,2025-11-28,2025-12-02,5,-58.9916476,134.8975198,-193.8891674,21398.52585
core3_relative_fixed_5d_1x,2,2026-02-21,2026-02-25,5,168.44365,236.0961827,-67.65253264,21509.36672
core3_relative_fixed_5d_1x,3,2026-03-22,2026-03-26,5,-34.66416023,136.5821236,-171.2462838,20323.38741
core3_relative_fixed_5d_1x,4,2026-05-28,2026-06-01,5,288.9767948,54.18806812,234.7887267,20209.47439
core3_relative_fixed_5d_1x,5,2026-06-20,2026-06-24,5,23.50475013,182.0390326,-158.5342825,20424.63297
core3_relative_fixed_5d_1x,6,2026-07-31,2026-08-04,5,-3.728689482,33.02884965,-36.75753913,10524.30675
core3_relative_fixed_7d_1x,1,2025-11-28,2025-12-04,7,26.63645707,137.4114103,-110.7749532,21575.22963
