strategy,trade_number,active_start,active_end,active_days,gross_pnl,transaction_cost,net_pnl,turnover
frozen_strategy2_2x,1,2025-11-28,2025-11-29,2,-508.4387526,249.3475151,-757.7862677,40099.81152
frozen_strategy2_2x,2,2026-02-21,2026-02-21,1,-28.28047505,313.7320121,-342.0124871,39971.71952
frozen_strategy2_2x,3,2026-03-22,2026-03-22,1,-354.2181542,209.0337676,-563.2519218,39645.78185
frozen_strategy2_2x,4,2026-05-28,2026-05-30,3,207.5258346,177.8675979,29.65823673,40689.59294
frozen_strategy2_2x,5,2026-06-20,2026-06-20,1,360.1106229,397.3646724,-37.25404953,40360.11062
frozen_strategy2_2x,6,2026-06-24,2026-06-27,4,-664.2175168,327.6795126,-991.8970294,41037.99241
frozen_strategy2_2x,7,2026-07-31,2026-08-01,2,-377.9168976,106.8821181,-484.7990157,40293.5625
accelerating_spike_1x,1,2025-11-28,2025-11-29,2,-254.2193763,124.6737576,-378.8931338,20049.90576
accelerating_spike_1x,2,2026-02-21,2026-02-21,1,-14.14023752,156.866006,-171.0062436,19985.85976
accelerating_spike_1x,3,2026-03-22,2026-03-22,1,-177.1090771,104.5168838,-281.6259609,19822.89092
accelerating_spike_1x,4,2026-05-28,2026-05-30,3,103.7629173,88.93379895,14.82911836,20344.79647
accelerating_spike_1x,5,2026-06-20,2026-06-20,1,180.0553114,198.6823362,-18.62702476,20180.05531
accelerating_spike_1x,6,2026-06-24,2026-06-27,4,-332.1087584,163.8397563,-495.9485147,20518.99621
accelerating_spike_1x,7,2026-07-31,2026-08-01,2,-188.9584488,53.44105905,-242.3995078,20146.78125
