number,objective_score,crash_threshold,entry_pct,exit_z,gross_util,lookback,max_hold,roc_pct,roc_window,state,active_fold_count,activity_penalty,user_attrs_entry_pct,user_attrs_exit_z,user_attrs_gross_util,inactivity_penalty,invalid_reason,user_attrs_lookback,user_attrs_max_hold,mean_active_days_per_fold,mean_val_max_dd,mean_val_return,mean_val_sharpe,user_attrs_objective_score,penalty_reasons,user_attrs_roc_pct,user_attrs_roc_window,std_val_sharpe,total_dev_trades,traded_fold_share
0,-0.5110854976163872,off,0.8,0.0,0.25,126,5,0.9,3,COMPLETE,15.0,0.0,0.8,0.0,0.25,0.0,,126.0,5.0,14.733333333333333,-0.04074465022452755,-0.011014966119275993,-0.2723612278636558,-0.5110854976163872,,0.9,3.0,1.5914951316848764,100.0,1.0
1,-0.7314516858808241,-15%,0.85,0.0,1.0,126,5,0.95,3,COMPLETE,12.0,0.5,0.85,0.0,1.0,0.0,,126.0,5.0,4.8,-0.024226627894486007,0.004187457767735363,-0.004015107140507832,-0.7314516858808241,,0.95,3.0,1.5162438582687752,37.0,0.8
2,-0.4217691984705281,off,0.75,0.25,1.0,126,5,0.95,3,COMPLETE,15.0,0.0,0.75,0.25,1.0,0.0,,126.0,5.0,7.666666666666667,-0.060487967443275115,-0.010921087268294778,-0.21624460804438517,-0.4217691984705281,,0.95,3.0,1.3701639361742863,60.0,1.0
3,-1.4094587405571914,-15%,0.75,0.0,2.0,126,5,0.9,3,COMPLETE,15.0,0.0,0.75,0.0,2.0,0.0,,126.0,5.0,14.066666666666666,-0.5462449634626118,-0.2199222350605952,-1.132992138156453,-1.4094587405571914,,0.9,3.0,1.84311068267159,99.0,1.0
4,-0.18065049424586205,off,0.85,0.0,1.0,126,5,0.9,3,COMPLETE,15.0,0.0,0.85,0.0,1.0,0.0,,126.0,5.0,12.266666666666667,-0.14440623577600367,-0.013249184598766072,0.04107539421884668,-0.18065049424586205,,0.9,3.0,1.4781725897647249,86.0,1.0
5,-0.9008872143490841,-15%,0.8,0.0,1.0,126,5,0.9,3,COMPLETE,15.0,0.0,0.8,0.0,1.0,0.0,,126.0,5.0,12.133333333333333,-0.13388470782661135,-0.03405489112397881,-0.6334897114450516,-0.9008872143490841,,0.9,3.0,1.7826500193602168,86.0,1.0
6,-2.3603526491058378,off,0.85,0.25,2.0,126,7,0.9,3,COMPLETE,15.0,0.0,0.85,0.25,2.0,0.0,,126.0,7.0,13.2,-0.680520865561669,-0.6403750214748698,-2.0896423248174347,-2.3603526491058378,,0.9,3.0,1.8047354952560208,82.0,1.0
7,-0.6120771462721479,-15%,0.85,0.0,1.0,126,5,0.9,3,COMPLETE,15.0,0.0,0.85,0.0,1.0,0.0,,126.0,5.0,10.0,-0.08888217028383082,-0.021268026186970917,-0.3740272625013309,-0.6120771462721479,,0.9,3.0,1.5869992251387803,73.0,1.0
8,-2.254166790607381,off,0.8,0.25,2.0,126,7,0.9,3,COMPLETE,15.0,0.0,0.8,0.25,2.0,0.0,,126.0,7.0,15.333333333333334,-0.6811810946509779,-0.6446627580910279,-2.006028217114071,-2.254166790607381,,0.9,3.0,1.6542571566220687,96.0,1.0
9,-0.31166448212093,off,0.85,0.25,0.25,126,5,0.9,3,COMPLETE,15.0,0.0,0.85,0.25,0.25,0.0,,126.0,5.0,11.733333333333333,-0.030582060689150273,-0.005975812560636973,-0.09441124891850514,-0.31166448212093,,0.9,3.0,1.448354888016166,86.0,1.0
10,-0.15175233899351448,off,0.85,0.0,0.5,126,7,0.95,3,COMPLETE,14.0,0.0,0.85,0.0,0.5,0.0,,126.0,7.0,7.733333333333333,-0.03301486656006528,0.0011284009422796836,0.08632420334724297,-0.15175233899351448,,0.95,3.0,1.5871769489383831,48.0,0.9333333333333333
11,-0.15175233899351448,off,0.85,0.0,0.5,126,7,0.95,3,COMPLETE,14.0,0.0,0.85,0.0,0.5,0.0,,126.0,7.0,7.733333333333333,-0.03301486656006528,0.0011284009422796836,0.08632420334724297,-0.15175233899351448,,0.95,3.0,1.5871769489383831,48.0,0.9333333333333333
12,-0.15175233899351448,off,0.85,0.0,0.5,126,7,0.95,3,COMPLETE,14.0,0.0,0.85,0.0,0.5,0.0,,126.0,7.0,7.733333333333333,-0.03301486656006528,0.0011284009422796836,0.08632420334724297,-0.15175233899351448,,0.95,3.0,1.5871769489383831,48.0,0.9333333333333333
13,-0.15175233899351448,off,0.85,0.0,0.5,126,7,0.95,3,COMPLETE,14.0,0.0,0.85,0.0,0.5,0.0,,126.0,7.0,7.733333333333333,-0.03301486656006528,0.0011284009422796836,0.08632420334724297,-0.15175233899351448,,0.95,3.0,1.5871769489383831,48.0,0.9333333333333333
14,-0.15175233899351448,off,0.85,0.0,0.5,126,7,0.95,3,COMPLETE,14.0,0.0,0.85,0.0,0.5,0.0,,126.0,7.0,7.733333333333333,-0.03301486656006528,0.0011284009422796836,0.08632420334724297,-0.15175233899351448,,0.95,3.0,1.5871769489383831,48.0,0.9333333333333333
15,-0.39400825879770834,off,0.75,0.0,0.5,126,7,0.95,3,PRUNED,,,,,,,,,,,,,,,,,,,,
16,-0.15175233899351448,off,0.85,0.0,0.5,126,7,0.95,3,COMPLETE,14.0,0.0,0.85,0.0,0.5,0.0,,126.0,7.0,7.733333333333333,-0.03301486656006528,0.0011284009422796836,0.08632420334724297,-0.15175233899351448,,0.95,3.0,1.5871769489383831,48.0,0.9333333333333333
17,-0.15175233899351448,off,0.85,0.0,0.5,126,7,0.95,3,COMPLETE,14.0,0.0,0.85,0.0,0.5,0.0,,126.0,7.0,7.733333333333333,-0.03301486656006528,0.0011284009422796836,0.08632420334724297,-0.15175233899351448,,0.95,3.0,1.5871769489383831,48.0,0.9333333333333333
18,-0.09511265437912916,-15%,0.8,0.25,0.5,126,7,0.95,3,PRUNED,,,,,,,,,,,,,,,,,,,,
19,-0.5318681569631951,off,0.75,0.0,0.5,126,7,0.95,3,PRUNED,,,,,,,,,,,,,,,,,,,,
20,-0.31496166978183643,off,0.85,0.0,0.25,126,7,0.95,3,PRUNED,,,,,,,,,,,,,,,,,,,,
21,-0.15175233899351448,off,0.85,0.0,0.5,126,7,0.95,3,COMPLETE,14.0,0.0,0.85,0.0,0.5,0.0,,126.0,7.0,7.733333333333333,-0.03301486656006528,0.0011284009422796836,0.08632420334724297,-0.15175233899351448,,0.95,3.0,1.5871769489383831,48.0,0.9333333333333333
22,-0.15175233899351448,off,0.85,0.0,0.5,126,7,0.95,3,COMPLETE,14.0,0.0,0.85,0.0,0.5,0.0,,126.0,7.0,7.733333333333333,-0.03301486656006528,0.0011284009422796836,0.08632420334724297,-0.15175233899351448,,0.95,3.0,1.5871769489383831,48.0,0.9333333333333333
23,-0.15175233899351448,off,0.85,0.0,0.5,126,7,0.95,3,COMPLETE,14.0,0.0,0.85,0.0,0.5,0.0,,126.0,7.0,7.733333333333333,-0.03301486656006528,0.0011284009422796836,0.08632420334724297,-0.15175233899351448,,0.95,3.0,1.5871769489383831,48.0,0.9333333333333333
